gps_id,shipment_id,timestamp,latitude,longitude,speed_kmph
GPS00001,SHP02472,2025-02-04T01:00:00.000Z,21.356185,78.212522,31
GPS00002,SHP01617,2025-01-13T08:00:00.000Z,13.611725,78.787485,37
GPS00003,SHP01126,2025-02-09T01:00:00.000Z,19.397366,77.854643,70
GPS00004,SHP02623,2025-02-04T15:00:00.000Z,25.10067,76.651906,30
GPS00005,SHP01179,2025-02-02T23:00:00.000Z,26.123395,77.573819,34
GPS00006,SHP01694,2025-01-29T14:00:00.000Z,22.999839,72.88946,48
GPS00007,SHP01883,2025-01-30T11:00:00.000Z,20.684297,74.019005,60
GPS00008,SHP02197,2025-01-05T01:00:00.000Z,22.726248,76.36696,74
GPS00009,SHP02572,2025-01-24T22:00:00.000Z,13.975462,79.838393,23
GPS00010,SHP01623,2025-01-29T01:00:00.000Z,25.43796,71.231811,64
GPS00011,SHP00490,2025-01-28T11:00:00.000Z,18.494536,70.604277,66
GPS00012,SHP01209,2025-01-30T17:00:00.000Z,13.353246,77.206115,48
GPS00013,SHP01990,2025-02-03T01:00:00.000Z,27.370972,70.61716,69
GPS00015,SHP02954,2025-01-09T14:00:00.000Z,16.624471,74.174388,36
GPS00016,SHP02807,2025-01-19T15:00:00.000Z,29.003913,72.414869,72
GPS00017,SHP00773,2025-01-14T03:00:00.000Z,25.936673,70.579267,50
GPS00018,SHP01940,2025-01-26T13:00:00.000Z,14.574581,73.526727,26
GPS00019,SHP00570,2025-01-22T18:00:00.000Z,25.70955,71.225704,40
GPS00020,SHP00986,2025-01-22T08:00:00.000Z,12.757261,74.253804,68
GPS00021,SHP02722,2025-02-11T04:00:00.000Z,20.90535,72.803218,21
GPS00022,SHP00776,2025-02-01T22:00:00.000Z,13.643515,72.1263,67
GPS00023,SHP01186,2025-01-14T23:00:00.000Z,17.448814,74.271678,20
GPS00024,SHP02557,2025-01-18T20:00:00.000Z,24.947505,73.682625,74
GPS00025,SHP02210,2025-01-01T13:00:00.000Z,16.437197,71.260115,78
GPS00026,SHP01587,2025-01-14T09:00:00.000Z,14.66122,79.842815,72
GPS00027,SHP02443,2025-01-18T03:00:00.000Z,16.207693,76.111527,41
GPS00028,SHP00594,2025-01-11T14:00:00.000Z,23.936325,74.502199,75
GPS00029,SHP01801,2025-01-26T13:00:00.000Z,28.17903,76.417128,33
GPS00031,SHP02342,2025-02-06T20:00:00.000Z,12.293367,74.931684,43
GPS00033,SHP01182,2025-01-01T04:00:00.000Z,28.045317,71.38587,37
GPS00034,SHP00232,2025-01-18T18:00:00.000Z,21.141197,73.556209,72
GPS00035,SHP00187,2025-02-01T12:00:00.000Z,15.160499,79.8816,50
GPS00036,SHP00023,2025-01-12T21:00:00.000Z,13.114116,70.740812,35
GPS00037,SHP02519,2025-01-23T14:00:00.000Z,18.888394,72.918845,43
GPS00038,SHP01710,2025-01-02T20:00:00.000Z,12.715206,77.694285,62
GPS00039,SHP00345,2025-01-05T13:00:00.000Z,25.663868,71.500508,50
GPS00040,SHP01426,2025-02-04T18:00:00.000Z,28.391031,76.214568,46
GPS00041,SHP02371,2025-01-02T14:00:00.000Z,18.271841,74.847754,49
GPS00042,SHP02363,2025-01-13T15:00:00.000Z,22.119531,70.950244,54
GPS00043,SHP02776,2025-01-03T10:00:00.000Z,12.646428,74.004786,33
GPS00046,SHP01882,2025-01-16T11:00:00.000Z,28.845218,75.481557,50
GPS00047,SHP01716,2025-02-04T10:00:00.000Z,20.549373,76.9316,71
GPS00048,SHP01574,2025-01-18T21:00:00.000Z,24.971074,75.444411,20
GPS00049,SHP00088,2025-01-15T01:00:00.000Z,22.173187,78.867902,24
GPS00050,SHP01311,2025-02-04T09:00:00.000Z,18.171125,78.695141,36
GPS00053,SHP02123,2025-02-11T04:00:00.000Z,26.647955,74.597043,57
GPS00054,SHP00014,2025-01-14T06:00:00.000Z,26.514684,70.667126,64
