shipment_id,shipment_date,warehouse_id,sku_id,delay_hours,delivery_status,source_city,destination_city,route_id,inventory_level,gps_id,latitude,longitude,speed_kmph,timestamp,record_type
SHP00001,2025-02-20,WH030,null,2,Delayed,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00002,2025-01-23,WH009,null,1,Delayed,Hyderabad,Bangalore,Hyderabad→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00003,2025-01-20,WH034,null,0,On-Time,Chennai,Chennai,Chennai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00004,2025-01-18,WH001,null,0,On-Time,Chennai,Kolkata,Chennai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00005,2025-01-03,WH029,null,-2,Early,Delhi,Kolkata,Delhi→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00006,2025-02-24,WH005,null,-2,Early,Mumbai,Kolkata,Mumbai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00007,2025-02-07,WH015,null,-1,Early,Jaipur,Kolkata,Jaipur→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00008,2025-02-12,WH007,null,4,Delayed,Mumbai,Kolkata,Mumbai→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00009,2025-01-29,WH017,null,4,Delayed,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00010,2025-01-28,WH020,null,-1,Early,Kolkata,Mumbai,Kolkata→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00011,2025-01-08,WH003,null,2,Delayed,Bangalore,Chennai,Bangalore→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00012,2025-03-01,WH015,null,2,Delayed,Bangalore,Bangalore,Bangalore→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00013,2025-01-25,WH014,null,5,Delayed,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00015,2025-01-26,WH013,null,3,Delayed,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00016,2025-01-08,WH044,null,1,Delayed,Jaipur,Mumbai,Jaipur→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00017,2025-02-13,WH004,null,4,Delayed,Lucknow,Chennai,Lucknow→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00018,2025-02-17,WH035,null,3,Delayed,Bangalore,Chennai,Bangalore→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00019,2025-01-18,WH044,null,2,Delayed,Jaipur,Bangalore,Jaipur→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00020,2025-02-06,WH026,null,-2,Early,Chennai,Bangalore,Chennai→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00021,2025-02-23,WH037,null,5,Delayed,Jaipur,Mumbai,Jaipur→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00022,2025-02-14,WH041,null,1,Delayed,Kolkata,Mumbai,Kolkata→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00023,2025-02-14,WH028,null,2,Delayed,Chennai,Mumbai,Chennai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00024,2025-02-01,WH041,null,4,Delayed,Ahmedabad,Chennai,Ahmedabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00025,2025-02-17,WH018,null,-1,Early,Lucknow,Mumbai,Lucknow→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00026,2025-01-28,WH049,null,2,Delayed,Hyderabad,Chennai,Hyderabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00027,2025-01-13,WH033,null,0,On-Time,Bangalore,Delhi,Bangalore→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00028,2025-02-08,WH042,null,3,Delayed,Delhi,Delhi,Delhi→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00029,2025-02-02,WH015,null,-1,Early,Kolkata,Bangalore,Kolkata→Bangalore,null,null,null,null,null,null,SHIPMENT
SHP00031,2025-01-15,WH023,null,1,Delayed,Hyderabad,Chennai,Hyderabad→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00033,2025-01-17,WH036,null,5,Delayed,Chennai,Delhi,Chennai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00034,2025-01-11,WH045,null,0,On-Time,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00035,2025-02-22,WH039,null,0,On-Time,Mumbai,Mumbai,Mumbai→Mumbai,null,null,null,null,null,null,SHIPMENT
SHP00036,2025-01-27,WH046,null,5,Delayed,Mumbai,Delhi,Mumbai→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00037,2025-02-28,WH003,null,0,On-Time,Kolkata,Delhi,Kolkata→Delhi,null,null,null,null,null,null,SHIPMENT
SHP00038,2025-02-21,WH049,null,2,Delayed,Mumbai,Chennai,Mumbai→Chennai,null,null,null,null,null,null,SHIPMENT
SHP00039,2025-01-17,WH030,null,3,Delayed,Pune,Kolkata,Pune→Kolkata,null,null,null,null,null,null,SHIPMENT
SHP00040,2025-02-04,WH024,null,5,Delayed,Pune,Delhi,Pune→Delhi,null,null,null,null,null,null,SHIPMENT
