shipment_id,shipment_date,warehouse_id,delay_hours,source_city,destination_city,delivery_status,route_id
SHP00001,2025-02-20,WH030,2,Bangalore,Bangalore,Delayed,Bangalore→Bangalore
SHP00002,2025-01-23,WH009,1,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00003,2025-01-20,WH034,0,Chennai,Chennai,On-Time,Chennai→Chennai
SHP00004,2025-01-18,WH001,0,Chennai,Kolkata,On-Time,Chennai→Kolkata
SHP00005,2025-01-03,WH029,-2,Delhi,Kolkata,Early,Delhi→Kolkata
SHP00006,2025-02-24,WH005,-2,Mumbai,Kolkata,Early,Mumbai→Kolkata
SHP00007,2025-02-07,WH015,-1,Jaipur,Kolkata,Early,Jaipur→Kolkata
SHP00008,2025-02-12,WH007,4,Mumbai,Kolkata,Delayed,Mumbai→Kolkata
SHP00009,2025-01-29,WH017,4,Lucknow,Mumbai,Delayed,Lucknow→Mumbai
SHP00010,2025-01-28,WH020,-1,Kolkata,Mumbai,Early,Kolkata→Mumbai
SHP00011,2025-01-08,WH003,2,Bangalore,Chennai,Delayed,Bangalore→Chennai
SHP00012,2025-03-01,WH015,2,Bangalore,Bangalore,Delayed,Bangalore→Bangalore
SHP00013,2025-01-25,WH014,5,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00015,2025-01-26,WH013,3,Chennai,Mumbai,Delayed,Chennai→Mumbai
SHP00016,2025-01-08,WH044,1,Jaipur,Mumbai,Delayed,Jaipur→Mumbai
SHP00017,2025-02-13,WH004,4,Lucknow,Chennai,Delayed,Lucknow→Chennai
SHP00018,2025-02-17,WH035,3,Bangalore,Chennai,Delayed,Bangalore→Chennai
SHP00019,2025-01-18,WH044,2,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00020,2025-02-06,WH026,-2,Chennai,Bangalore,Early,Chennai→Bangalore
SHP00021,2025-02-23,WH037,5,Jaipur,Mumbai,Delayed,Jaipur→Mumbai
SHP00022,2025-02-14,WH041,1,Kolkata,Mumbai,Delayed,Kolkata→Mumbai
SHP00023,2025-02-14,WH028,2,Chennai,Mumbai,Delayed,Chennai→Mumbai
SHP00024,2025-02-01,WH041,4,Ahmedabad,Chennai,Delayed,Ahmedabad→Chennai
SHP00025,2025-02-17,WH018,-1,Lucknow,Mumbai,Early,Lucknow→Mumbai
SHP00026,2025-01-28,WH049,2,Hyderabad,Chennai,Delayed,Hyderabad→Chennai
SHP00027,2025-01-13,WH033,0,Bangalore,Delhi,On-Time,Bangalore→Delhi
SHP00028,2025-02-08,WH042,3,Delhi,Delhi,Delayed,Delhi→Delhi
SHP00029,2025-02-02,WH015,-1,Kolkata,Bangalore,Early,Kolkata→Bangalore
SHP00031,2025-01-15,WH023,1,Hyderabad,Chennai,Delayed,Hyderabad→Chennai
SHP00033,2025-01-17,WH036,5,Chennai,Delhi,Delayed,Chennai→Delhi
SHP00034,2025-01-11,WH045,0,Pune,Delhi,On-Time,Pune→Delhi
SHP00035,2025-02-22,WH039,0,Mumbai,Mumbai,On-Time,Mumbai→Mumbai
SHP00036,2025-01-27,WH046,5,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00037,2025-02-28,WH003,0,Kolkata,Delhi,On-Time,Kolkata→Delhi
SHP00038,2025-02-21,WH049,2,Mumbai,Chennai,Delayed,Mumbai→Chennai
SHP00039,2025-01-17,WH030,3,Pune,Kolkata,Delayed,Pune→Kolkata
SHP00040,2025-02-04,WH024,5,Pune,Delhi,Delayed,Pune→Delhi
SHP00041,2025-02-12,WH012,1,Lucknow,Mumbai,Delayed,Lucknow→Mumbai
SHP00042,2025-02-14,WH033,4,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00043,2025-02-06,WH006,-2,Bangalore,Bangalore,Early,Bangalore→Bangalore
SHP00046,2025-02-21,WH049,2,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00047,2025-01-28,WH013,-1,Kolkata,Delhi,Early,Kolkata→Delhi
SHP00048,2025-02-23,WH005,2,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00049,2025-02-15,WH036,4,Jaipur,Delhi,Delayed,Jaipur→Delhi
SHP00050,2025-01-31,WH028,2,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00053,2025-03-01,WH023,4,Lucknow,Mumbai,Delayed,Lucknow→Mumbai
SHP00054,2025-01-24,WH022,5,Chennai,Mumbai,Delayed,Chennai→Mumbai
SHP00055,2025-01-30,WH001,-2,Mumbai,Chennai,Early,Mumbai→Chennai
SHP00056,2025-02-05,WH040,-1,Bangalore,Delhi,Early,Bangalore→Delhi
SHP00057,2025-02-10,WH018,5,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00058,2025-01-12,WH025,4,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00059,2025-02-22,WH048,3,Mumbai,Bangalore,Delayed,Mumbai→Bangalore
SHP00060,2025-01-26,WH042,2,Chennai,Chennai,Delayed,Chennai→Chennai
SHP00061,2025-02-26,WH043,5,Mumbai,Kolkata,Delayed,Mumbai→Kolkata
SHP00062,2025-02-18,WH020,2,Kolkata,Bangalore,Delayed,Kolkata→Bangalore
SHP00064,2025-02-06,WH014,3,Ahmedabad,Kolkata,Delayed,Ahmedabad→Kolkata
SHP00065,2025-02-04,WH045,5,Pune,Bangalore,Delayed,Pune→Bangalore
SHP00066,2025-02-19,WH027,-2,Delhi,Bangalore,Early,Delhi→Bangalore
SHP00068,2025-01-02,WH012,1,Pune,Bangalore,Delayed,Pune→Bangalore
SHP00069,2025-01-19,WH044,-2,Chennai,Mumbai,Early,Chennai→Mumbai
SHP00070,2025-01-17,WH004,3,Hyderabad,Delhi,Delayed,Hyderabad→Delhi
SHP00071,2025-01-31,WH011,5,Mumbai,Delhi,Delayed,Mumbai→Delhi
SHP00072,2025-01-20,WH042,-2,Lucknow,Mumbai,Early,Lucknow→Mumbai
SHP00073,2025-01-19,WH026,3,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00074,2025-01-22,WH037,-2,Jaipur,Bangalore,Early,Jaipur→Bangalore
SHP00075,2025-01-26,WH004,1,Chennai,Bangalore,Delayed,Chennai→Bangalore
SHP00076,2025-01-08,WH045,3,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00077,2025-02-14,WH026,1,Ahmedabad,Delhi,Delayed,Ahmedabad→Delhi
SHP00078,2025-01-09,WH015,2,Kolkata,Kolkata,Delayed,Kolkata→Kolkata
SHP00079,2025-02-26,WH015,3,Hyderabad,Bangalore,Delayed,Hyderabad→Bangalore
SHP00081,2025-02-02,WH005,1,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00082,2025-02-19,WH035,-1,Pune,Mumbai,Early,Pune→Mumbai
SHP00083,2025-01-16,WH022,-1,Bangalore,Bangalore,Early,Bangalore→Bangalore
SHP00084,2025-01-24,WH024,-2,Chennai,Chennai,Early,Chennai→Chennai
SHP00085,2025-02-23,WH002,-1,Bangalore,Chennai,Early,Bangalore→Chennai
SHP00086,2025-02-08,WH022,5,Pune,Bangalore,Delayed,Pune→Bangalore
SHP00087,2025-02-07,WH022,4,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00089,2025-01-06,WH006,3,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00090,2025-01-14,WH039,2,Chennai,Bangalore,Delayed,Chennai→Bangalore
SHP00091,2025-01-15,WH008,2,Lucknow,Kolkata,Delayed,Lucknow→Kolkata
SHP00092,2025-01-12,WH013,-1,Pune,Delhi,Early,Pune→Delhi
SHP00094,2025-01-02,WH050,3,Ahmedabad,Delhi,Delayed,Ahmedabad→Delhi
SHP00095,2025-02-28,WH015,3,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00096,2025-02-03,WH002,0,Ahmedabad,Kolkata,On-Time,Ahmedabad→Kolkata
SHP00097,2025-02-19,WH022,-2,Delhi,Chennai,Early,Delhi→Chennai
SHP00098,2025-02-02,WH021,-1,Hyderabad,Kolkata,Early,Hyderabad→Kolkata
SHP00099,2025-01-10,WH007,-1,Delhi,Chennai,Early,Delhi→Chennai
SHP00100,2025-01-07,WH004,4,Chennai,Kolkata,Delayed,Chennai→Kolkata
SHP00101,2025-02-03,WH044,5,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00103,2025-01-14,WH036,0,Hyderabad,Bangalore,On-Time,Hyderabad→Bangalore
SHP00104,2025-01-13,WH007,2,Lucknow,Chennai,Delayed,Lucknow→Chennai
SHP00105,2025-02-28,WH001,5,Kolkata,Bangalore,Delayed,Kolkata→Bangalore
SHP00106,2025-01-01,WH021,-1,Lucknow,Delhi,Early,Lucknow→Delhi
SHP00107,2025-02-27,WH032,-2,Kolkata,Delhi,Early,Kolkata→Delhi
SHP00108,2025-02-11,WH035,-2,Pune,Delhi,Early,Pune→Delhi
SHP00109,2025-02-24,WH008,3,Chennai,Mumbai,Delayed,Chennai→Mumbai
SHP00110,2025-02-23,WH040,3,Delhi,Delhi,Delayed,Delhi→Delhi
SHP00111,2025-02-07,WH003,1,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00112,2025-01-24,WH011,3,Ahmedabad,Chennai,Delayed,Ahmedabad→Chennai
SHP00113,2025-02-10,WH008,-2,Mumbai,Bangalore,Early,Mumbai→Bangalore
SHP00114,2025-03-01,WH014,4,Bangalore,Kolkata,Delayed,Bangalore→Kolkata
SHP00115,2025-02-19,WH037,2,Mumbai,Chennai,Delayed,Mumbai→Chennai
SHP00116,2025-01-15,WH028,-1,Delhi,Kolkata,Early,Delhi→Kolkata
SHP00117,2025-01-16,WH024,5,Delhi,Mumbai,Delayed,Delhi→Mumbai
SHP00118,2025-02-19,WH005,4,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00119,2025-02-24,WH039,4,Lucknow,Delhi,Delayed,Lucknow→Delhi
SHP00120,2025-01-10,WH012,-2,Mumbai,Chennai,Early,Mumbai→Chennai
SHP00121,2025-02-21,WH015,3,Kolkata,Delhi,Delayed,Kolkata→Delhi
SHP00122,2025-01-20,WH050,-2,Kolkata,Bangalore,Early,Kolkata→Bangalore
SHP00123,2025-02-13,WH029,4,Lucknow,Bangalore,Delayed,Lucknow→Bangalore
SHP00125,2025-02-09,WH009,3,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00126,2025-01-11,WH009,4,Hyderabad,Chennai,Delayed,Hyderabad→Chennai
SHP00127,2025-01-05,WH021,4,Jaipur,Chennai,Delayed,Jaipur→Chennai
SHP00128,2025-02-22,WH012,2,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00129,2025-02-20,WH001,3,Mumbai,Chennai,Delayed,Mumbai→Chennai
SHP00130,2025-01-28,WH012,-1,Jaipur,Kolkata,Early,Jaipur→Kolkata
SHP00131,2025-02-13,WH003,3,Hyderabad,Kolkata,Delayed,Hyderabad→Kolkata
SHP00132,2025-01-28,WH025,2,Pune,Kolkata,Delayed,Pune→Kolkata
SHP00133,2025-02-06,WH037,3,Mumbai,Mumbai,Delayed,Mumbai→Mumbai
SHP00134,2025-01-16,WH038,5,Hyderabad,Mumbai,Delayed,Hyderabad→Mumbai
SHP00135,2025-03-01,WH036,-1,Kolkata,Mumbai,Early,Kolkata→Mumbai
SHP00136,2025-01-22,WH023,1,Delhi,Bangalore,Delayed,Delhi→Bangalore
SHP00137,2025-01-03,WH006,4,Ahmedabad,Bangalore,Delayed,Ahmedabad→Bangalore
SHP00138,2025-01-05,WH048,2,Bangalore,Delhi,Delayed,Bangalore→Delhi
SHP00140,2025-01-22,WH049,-2,Jaipur,Kolkata,Early,Jaipur→Kolkata
SHP00142,2025-01-25,WH025,5,Jaipur,Bangalore,Delayed,Jaipur→Bangalore
SHP00143,2025-01-10,WH016,-2,Mumbai,Bangalore,Early,Mumbai→Bangalore
SHP00145,2025-02-21,WH044,0,Jaipur,Delhi,On-Time,Jaipur→Delhi
SHP00146,2025-02-26,WH036,1,Lucknow,Delhi,Delayed,Lucknow→Delhi
SHP00147,2025-01-27,WH029,4,Chennai,Bangalore,Delayed,Chennai→Bangalore
