gps_id,shipment_id,timestamp,latitude,longitude,speed_kmph
,,,,,
GPS00001,SHP02472,2025-02-04 01:00:00,21.356185,78.212522,31.0
GPS00002,SHP01617,2025-01-13 08:00:00,13.611725,78.787485,37.0
GPS00003,SHP01126,2025-02-09 01:00:00,19.397366,77.854643,70.0
GPS00004,SHP02623,2025-02-04 15:00:00,25.10067,76.651906,30.0
GPS00005,SHP01179,2025-02-02 23:00:00,26.123395,77.573819,34.0
GPS00006,SHP01694,2025-01-29 14:00:00,22.999839,72.88946,48.0
GPS00007,SHP01883,2025-01-30 11:00:00,20.684297,74.019005,60.0
GPS00008,SHP02197,2025-01-05 01:00:00,22.726248,76.36696,74.0
GPS00009,SHP02572,2025-01-24 22:00:00,13.975462,79.838393,23.0
GPS00010,SHP01623,2025-01-29 01:00:00,25.43796,71.231811,64.0
GPS00011,SHP00490,2025-01-28 11:00:00,18.494536,70.604277,66.0
GPS00012,SHP01209,2025-01-30 17:00:00,13.353246,77.206115,48.0
GPS00013,SHP01990,2025-02-03 01:00:00,27.370972,70.61716,69.0
,,,,,
GPS00015,SHP02954,2025-01-09 14:00:00,16.624471,74.174388,36.0
GPS00016,SHP02807,2025-01-19 15:00:00,29.003913,72.414869,72.0
GPS00017,SHP00773,2025-01-14 03:00:00,25.936673,70.579267,50.0
GPS00018,SHP01940,2025-01-26 13:00:00,14.574581,73.526727,26.0
GPS00019,SHP00570,2025-01-22 18:00:00,25.70955,71.225704,40.0
GPS00020,SHP00986,2025-01-22 08:00:00,12.757261,74.253804,68.0
GPS00021,SHP02722,2025-02-11 04:00:00,20.90535,72.803218,21.0
GPS00022,SHP00776,2025-02-01 22:00:00,13.643515,72.1263,67.0
GPS00023,SHP01186,2025-01-14 23:00:00,17.448814,74.271678,20.0
GPS00024,SHP02557,2025-01-18 20:00:00,24.947505,73.682625,74.0
GPS00025,SHP02210,2025-01-01 13:00:00,16.437197,71.260115,78.0
GPS00026,SHP01587,2025-01-14 09:00:00,14.66122,79.842815,72.0
GPS00027,SHP02443,2025-01-18 03:00:00,16.207693,76.111527,41.0
GPS00028,SHP00594,2025-01-11 14:00:00,23.936325,74.502199,75.0
GPS00029,SHP01801,2025-01-26 13:00:00,28.17903,76.417128,33.0
,,,,,
GPS00031,SHP02342,2025-02-06 20:00:00,12.293367,74.931684,43.0
,,,,,
GPS00033,SHP01182,2025-01-01 04:00:00,28.045317,71.38587,37.0
GPS00034,SHP00232,2025-01-18 18:00:00,21.141197,73.556209,72.0
GPS00035,SHP00187,2025-02-01 12:00:00,15.160499,79.8816,50.0
GPS00036,SHP00023,2025-01-12 21:00:00,13.114116,70.740812,35.0
GPS00037,SHP02519,2025-01-23 14:00:00,18.888394,72.918845,43.0
GPS00038,SHP01710,2025-01-02 20:00:00,12.715206,77.694285,62.0
GPS00039,SHP00345,2025-01-05 13:00:00,25.663868,71.500508,50.0
GPS00040,SHP01426,2025-02-04 18:00:00,28.391031,76.214568,46.0
GPS00041,SHP02371,2025-01-02 14:00:00,18.271841,74.847754,49.0
GPS00042,SHP02363,2025-01-13 15:00:00,22.119531,70.950244,54.0
GPS00043,SHP02776,2025-01-03 10:00:00,12.646428,74.004786,33.0
,,,,,
,,,,,
GPS00046,SHP01882,2025-01-16 11:00:00,28.845218,75.481557,50.0
GPS00047,SHP01716,2025-02-04 10:00:00,20.549373,76.9316,71.0
GPS00048,SHP01574,2025-01-18 21:00:00,24.971074,75.444411,20.0
GPS00049,SHP00088,2025-01-15 01:00:00,22.173187,78.867902,24.0
GPS00050,SHP01311,2025-02-04 09:00:00,18.171125,78.695141,36.0
,,,,,
,,,,,
