shipment_id,origin_warehouse_id,destination_city,shipment_date,eta,ata,status,distance_km,vehicle_type
SHP00000,WH020,Bangalore,2025-02-14,2025-02-14 12:00:00,2025-02-14 13:00:00,In Transit,550,Truck
SHP00001,WH030,Bangalore,2025-02-20,2025-02-20 13:00:00,2025-02-20 15:00:00,Delivered,833,Truck
SHP00002,WH009,Bangalore,2025-01-23,2025-01-23 13:00:00,2025-01-23 14:00:00,In Transit,152,Van
SHP00003,WH034,Chennai,2025-01-20,2025-01-20 16:00:00,2025-01-20 16:00:00,Delivered,775,Truck
SHP00004,WH001,Kolkata,2025-01-18,2025-01-18 15:00:00,2025-01-18 15:00:00,Delayed,913,Truck
SHP00005,WH029,Kolkata,2025-01-03,2025-01-03 18:00:00,2025-01-03 16:00:00,Delivered,299,Van
SHP00006,WH005,Kolkata,2025-02-24,2025-02-24 16:00:00,2025-02-24 14:00:00,Delivered,767,Truck
SHP00007,WH015,Kolkata,2025-02-07,2025-02-07 17:00:00,2025-02-07 16:00:00,Delivered,505,Truck
SHP00008,WH007,Kolkata,2025-02-12,2025-02-12 18:00:00,2025-02-12 22:00:00,Delayed,876,Truck
SHP00009,WH017,Mumbai,2025-01-29,2025-01-29 13:00:00,2025-01-29 17:00:00,Delivered,291,Van
SHP00010,WH020,Mumbai,2025-01-28,2025-01-28 13:00:00,2025-01-28 12:00:00,Delivered,958,Truck
SHP00011,WH003,Chennai,2025-01-08,2025-01-08 12:00:00,2025-01-08 14:00:00,Delivered,396,Van
SHP00012,WH015,Bangalore,2025-03-01,2025-03-01 17:00:00,2025-03-01 19:00:00,In Transit,222,Van
SHP00013,WH014,Delhi,2025-01-25,2025-01-25 13:00:00,2025-01-25 18:00:00,Delivered,221,Van
SHP00014,WH027,Delhi,2025-02-28,2025-02-28 19:00:00,2025-02-28 20:00:00,Delivered,535,Van
SHP00015,WH013,Mumbai,2025-01-26,2025-01-26 11:00:00,2025-01-26 14:00:00,Delayed,859,Truck
SHP00016,WH044,Mumbai,2025-01-08,2025-01-08 11:00:00,2025-01-08 12:00:00,Delivered,606,Truck
SHP00017,WH004,Chennai,2025-02-13,2025-02-13 14:00:00,2025-02-13 18:00:00,In Transit,647,Truck
SHP00018,WH035,Chennai,2025-02-17,2025-02-17 20:00:00,2025-02-17 23:00:00,In Transit,162,Truck
SHP00019,WH044,Bangalore,2025-01-18,2025-01-18 10:00:00,2025-01-18 12:00:00,Delivered,213,Van
SHP00020,WH026,Bangalore,2025-02-06,2025-02-06 17:00:00,2025-02-06 15:00:00,In Transit,482,Van
SHP00021,WH037,Mumbai,2025-02-23,2025-02-23 15:00:00,2025-02-23 20:00:00,Delivered,591,Van
SHP00022,WH041,Mumbai,2025-02-14,2025-02-14 10:00:00,2025-02-14 11:00:00,In Transit,338,Truck
SHP00023,WH028,Mumbai,2025-02-14,2025-02-14 19:00:00,2025-02-14 21:00:00,In Transit,331,Van
SHP00024,WH041,Chennai,2025-02-01,2025-02-01 16:00:00,2025-02-01 20:00:00,In Transit,341,Van
