warehouse_id,warehouse_name,city,country,capacity
WH001,Warehouse_1,Chennai,India,73806.0
WH002,Warehouse_2,Delhi,India,93843.0
WH003,Warehouse_3,Mumbai,India,53295.0
WH004,Warehouse_4,Chennai,India,73088.0
WH005,Warehouse_5,Mumbai,India,119421.0
WH006,Warehouse_6,Chennai,India,142748.0
WH007,Warehouse_7,Delhi,India,97534.0
WH008,Warehouse_8,Mumbai,India,105500.0
WH009,Warehouse_9,Mumbai,India,53691.0
WH010,Warehouse_10,Kolkata,India,79409.0
WH011,Warehouse_11,Delhi,India,142653.0
WH012,Warehouse_12,Bangalore,India,112725.0
WH013,Warehouse_13,Delhi,India,87719.0
,,,,
WH015,Warehouse_15,Kolkata,India,76958.0
WH016,Warehouse_16,Chennai,India,108197.0
WH017,Warehouse_17,Mumbai,India,119407.0
,,,,
WH019,Warehouse_19,Bangalore,India,126583.0
WH020,Warehouse_20,Mumbai,India,91954.0
WH021,Warehouse_21,Bangalore,India,132198.0
WH022,Warehouse_22,Kolkata,India,103426.0
WH023,Warehouse_23,Kolkata,India,88407.0
WH024,Warehouse_24,Kolkata,India,89221.0
WH025,Warehouse_25,Bangalore,India,81814.0
WH026,Warehouse_26,Mumbai,India,71896.0
WH027,Warehouse_27,Chennai,India,127175.0
WH028,Warehouse_28,Mumbai,India,83161.0
WH029,Warehouse_29,Chennai,India,55584.0
WH030,Warehouse_30,Bangalore,India,128713.0
,,,,
WH032,Warehouse_32,Chennai,India,85912.0
WH033,Warehouse_33,Bangalore,India,147531.0
WH034,Warehouse_34,Chennai,India,97063.0
WH035,Warehouse_35,Delhi,India,51232.0
WH036,Warehouse_36,Bangalore,India,65861.0
WH037,Warehouse_37,Mumbai,India,95321.0
WH038,Warehouse_38,Bangalore,India,87672.0
WH039,Warehouse_39,Chennai,India,126367.0
,,,,
WH041,Warehouse_41,Mumbai,India,141923.0
WH042,Warehouse_42,Bangalore,India,68517.0
WH043,Warehouse_43,Mumbai,India,58286.0
WH044,Warehouse_44,Bangalore,India,59335.0
WH045,Warehouse_45,Chennai,India,83524.0
,,,,
WH047,Warehouse_47,Kolkata,India,93696.0
WH048,Warehouse_48,Chennai,India,69503.0
WH049,Warehouse_49,Delhi,India,90174.0
WH050,Warehouse_50,Bangalore,India,59392.0
